OnlinePlacementAssessment,AcademicAdvising,CollegeOpportunitiesandAdvisingPrep,spendMoreTimeDestinationKentState,favoritePartDestinationKentState,expectedAsAKentStateStudent,anyAdditionalComments
,i had a great experience and got all the information i needed. ,i am very happy with the opportunities i have learned are available for me at kent state. ,,"Finding a good group of people to spend time with. Connecting with other students. And mostly, getting to connect with some of the flash guides, they were very helpful. they also made the experience so much fun for me. ",To get involved and make a positive impact on the campus as well as other students lives. ,I want to thank KSU for the opportunity of being able to experience DKS. It really brightened my outlook of coming in as a freshman this fall. As well as the advisors for making me feel so welcomed to campus. 
,,,,,Get to classes and make sure to get any help you may need to succeed ,
,,,,,To get involved ,
,,,,,To do your best no matter what,
,,3-5 on day one of dks was too long to sit in one place.   ,,Evening of the first day and having the opportunity to hang out with other students. ,"Get involved, strive to be your best, and find your purpose",
,,,,Flashguides,Commitment ,
,,,,,,
Allow people to go back for answer changes or checking,,,,Flashguides stories & ask flashguides ,To succeed like the Golden Flashes should. ,Na 
,,,,,To blend in and stand out at the same time. ,
,,,Campus tours ,My favorite was the FLASHguide stories because it helped me realize that I'm not in this alone. ,To respect my peers and make decisions wisely. ,
,,,How to buy non expensive books,When we got back to hall did the down town tour and chilled,Just try my hardest,Keep up the good work
,,,,,,
,too much info given at once ,,,,pass classes,
,,,I think there should be more time spent in smaller groups with the flash guides to ask more questions about campus life.,My favorite part was listening to what the flash guides had to say about their own experiences and the time set aside to ask questions.,To be our own success and do the best you can with the opportunities set in front of you.,Maybe a session to write down questions and have flashguides answer them!
